30000	4	1	
0.598458	0.521205	0.609575	0.316452	
0.625705	0.556757	0.48194	0.271606	
0.555879	0.52824	0.57372	0.232129	
0.673196	0.619645	0.587589	0.288782	
0.477259	0.568757	0.57533	0.153164	
0.635891	0.544571	0.535665	0.23752	
0.607796	0.493024	0.502511	0.184894	
0.505574	0.544846	0.575998	0.212702	
0.597445	0.5582	0.564458	0.120893	
0.569254	0.511967	0.479741	0.282589	
0.536105	0.560936	0.50445	0.223998	
0.572749	0.438756	0.443166	0.162492	
0.543576	0.51147	0.599901	0.228664	
0.569022	0.506838	0.62365	0.185937	
0.493271	0.514823	0.526609	0.260535	
0.530844	0.64346	0.553291	0.173542	
0.554598	0.521273	0.559075	0.274852	
0.464485	0.533487	0.559877	0.261634	
0.611794	0.546485	0.544856	0.187497	
0.596692	0.442012	0.533435	0.236032	
0.54582	0.569698	0.496396	0.194177	
0.491418	0.464503	0.506665	0.270646	
0.517948	0.549182	0.511204	0.238964	
0.557255	0.561843	0.503263	0.263013	
0.506689	0.48814	0.507752	0.278125	
0.516836	0.621741	0.542586	0.20281	
0.564415	0.612704	0.559411	0.08067	
0.500413	0.48372	0.474531	0.232535	
0.466641	0.551866	0.490801	0.202451	
0.507964	0.492382	0.539201	0.283603	
0.553748	0.516505	0.427236	0.276129	
0.481936	0.50937	0.469583	0.201005	
0.506066	0.507907	0.501651	0.167536	
0.496668	0.585431	0.513725	0.196945	
0.48263	0.476328	0.363699	0.0711376	
0.51146	0.621402	0.343099	0.113304	
0.547009	0.499867	0.379555	0.182387	
0.491613	0.555376	0.336019	0.196343	
0.436854	0.501239	0.463206	0.217595	
0.447982	0.431153	0.33791	0.158976	
0.353836	0.474286	0.386824	0.20809	
0.454138	0.567735	0.451317	0.106815	
0.492604	0.439474	0.516104	0.276003	
0.475977	0.453102	0.479961	0.0838167	
0.431799	0.363609	0.420505	0.184441	
0.417439	0.446941	0.505705	0.101807	
0.494913	0.370606	0.479094	0.0949926	
0.40858	0.360881	0.41589	0.123042	
0.483678	0.484586	0.398906	0.144194	
0.532575	0.443088	0.342315	0.118297	
